Time, summa
2022-05-21 05:00:00.000, 1398400
2022-05-21 04:30:00.000, 381760
2022-05-21 13:30:00.000, 1764680
2022-05-21 01:30:00.000, 34400
2022-05-21 04:00:00.000, 84800
2022-05-21 09:30:00.000, 965152.8
2022-05-21 08:00:00.000, 1729513.6
2022-05-21 10:30:00.000, 696000
2022-05-21 11:00:00.000, 529440
2022-05-21 23:30:00.000, 527062.4
2022-05-21 13:00:00.000, 1978536
2022-05-21 07:30:00.000, 1669494.4
2022-05-21 06:00:00.000, 657659.2
2022-05-21 07:00:00.000, 1545369.6
2022-05-21 06:30:00.000, 1486652
2022-05-21 18:00:00.000, 1006312
2022-05-21 16:30:00.000, 879445.6
2022-05-21 00:30:00.000, 449200
2022-05-21 02:30:00.000, 51868
2022-05-21 20:30:00.000, 917760
2022-05-21 15:00:00.000, 1774120
2022-05-21 10:00:00.000, 1314936
2022-05-21 09:00:00.000, 1793781.6
2022-05-21 05:30:00.000, 2393920
2022-05-21 14:00:00.000, 1033663.2
2022-05-21 01:00:00.000, 1307600
2022-05-21 19:00:00.000, 1749623.2
2022-05-21 17:00:00.000, 775120
2022-05-21 22:30:00.000, 2283760
2022-05-21 16:00:00.000, 1817923.2
2022-05-21 02:00:00.000, 33600
2022-05-21 11:30:00.000, 2964128
2022-05-21 18:30:00.000, 1135600
2022-05-21 22:00:00.000, 1066416
2022-05-21 23:00:00.000, 979200
2022-05-21 00:00:00.000, 1167200
2022-05-21 08:30:00.000, 2275313.6
2022-05-21 17:30:00.000, 2703160
2022-05-21 15:30:00.000, 2189536
2022-05-21 14:30:00.000, 1504864
2022-05-21 21:00:00.000, 1295816
2022-05-21 20:00:00.000, 1028452
2022-05-21 21:30:00.000, 990052.8
2022-05-21 12:00:00.000, 1307115.2
2022-05-21 12:30:00.000, 1655640
2022-05-21 19:30:00.000, 1727618.4
2022-05-21 03:30:00.000, 252000
